Order,MSE,RMSE,R-squared
"(33, 0, 20)",127.189,11.278,0.655
"(33, 0, 21)",139.019,11.791,0.623
"(33, 0, 22)",126.692,11.256,0.657
"(33, 0, 23)",119.856,10.948,0.675
"(33, 1, 20)",74.611,8.638,0.798
"(33, 1, 21)",76.475,8.745,0.793
"(33, 1, 22)",78.237,8.845,0.788
"(33, 1, 23)",104.481,10.222,0.717
"(34, 0, 20)",160.885,12.684,0.564
"(34, 0, 21)",160.443,12.667,0.565
"(34, 0, 22)",132.881,11.527,0.64
"(34, 0, 23)",105.123,10.253,0.715
"(34, 1, 20)",76.07,8.722,0.794
"(34, 1, 21)",73.536,8.575,0.801
"(34, 1, 22)",76.946,8.772,0.791
"(34, 1, 23)",94.266,9.709,0.745
"(35, 0, 20)",210.426,14.506,0.43
"(35, 0, 21)",185.798,13.631,0.497
"(35, 0, 22)",150.197,12.255,0.593
"(35, 0, 23)",127.53,11.293,0.654
"(35, 1, 20)",82.573,9.087,0.776
"(35, 1, 21)",77.748,8.817,0.789
"(35, 1, 22)",77.462,8.801,0.79
"(35, 1, 23)",75.346,8.68,0.796
"(36, 0, 20)",194.905,13.961,0.472
"(36, 0, 21)",148.623,12.191,0.597
"(36, 0, 22)",126.942,11.267,0.656
"(36, 0, 23)",110.176,10.496,0.701
"(36, 1, 20)",83.668,9.147,0.773
"(36, 1, 21)",77.164,8.784,0.791
"(36, 1, 22)",75.81,8.707,0.795
"(36, 1, 23)",72.157,8.495,0.804
"(37, 0, 20)",159.76,12.64,0.567
"(37, 0, 21)",148.582,12.189,0.597
"(37, 0, 22)",133.864,11.57,0.637
"(37, 0, 23)",107.762,10.381,0.708
"(37, 1, 20)",83.979,9.164,0.772
"(37, 1, 21)",76.712,8.759,0.792
"(37, 1, 22)",79.217,8.9,0.785
"(37, 1, 23)",75.595,8.695,0.795
"(38, 0, 20)",170.69,13.065,0.537
"(38, 0, 21)",129.526,11.381,0.649
"(38, 0, 22)",158.651,12.596,0.57
"(38, 0, 23)",101.932,10.096,0.724
"(38, 1, 20)",94.735,9.733,0.743
"(38, 1, 21)",82.131,9.063,0.777
"(38, 1, 22)",96.389,9.818,0.739
"(38, 1, 23)",82.356,9.075,0.777
