Order,MSE,RMSE,R-squared
"(31, 0, 20)",20.404,4.517,-0.905
"(31, 0, 21)",22.366,4.729,-1.088
"(31, 0, 22)",14.937,3.865,-0.395
"(31, 1, 20)",38.166,6.178,-2.564
"(31, 1, 21)",34.181,5.846,-2.192
"(31, 1, 22)",38.822,6.231,-2.625
"(32, 0, 20)",12.115,3.481,-0.131
"(32, 0, 21)",27.056,5.201,-1.526
"(32, 0, 22)",16.165,4.021,-0.509
"(32, 1, 20)",35.448,5.954,-2.31
"(32, 1, 21)",35.155,5.929,-2.283
"(32, 1, 22)",36.138,6.012,-2.374
"(33, 0, 20)",21.423,4.628,-1.0
"(33, 0, 21)",33.171,5.759,-2.097
"(33, 0, 22)",48.459,6.961,-3.525
"(33, 1, 20)",34.303,5.857,-2.203
"(33, 1, 21)",29.108,5.395,-1.718
"(33, 1, 22)",52.502,7.246,-3.903
"(34, 0, 20)",20.166,4.491,-0.883
"(34, 0, 21)",32.984,5.743,-2.08
"(34, 0, 22)",28.705,5.358,-1.68
"(34, 1, 20)",31.85,5.644,-1.974
"(34, 1, 21)",31.153,5.581,-1.909
"(34, 1, 22)",32.54,5.704,-2.038
"(35, 0, 20)",14.188,3.767,-0.325
"(35, 0, 21)",28.732,5.36,-1.683
"(35, 0, 22)",26.638,5.161,-1.487
"(35, 1, 20)",52.807,7.267,-3.931
"(35, 1, 21)",50.67,7.118,-3.731
"(35, 1, 22)",50.802,7.128,-3.744
